geonameid,name,latitude,longitude,admin1_code,admin2_code,population,timezone,city_id,pop_category
4046255,Bay Minette,30.88296,-87.77305,AL,003,9118,America/Chicago,4046255,medium
4046274,Edna,28.97859,-96.64609,TX,239,5792,America/Chicago,4046274,medium
4046332,Henderson,32.15322,-94.79938,TX,401,13529,America/Chicago,4046332,medium
4046704,Fort Hunt,38.73289,-77.05803,VA,059,16045,America/New_York,4046704,medium
4047906,Trinity,28.18085,-82.68177,FL,101,10907,America/New_York,4047906,medium
4047914,Villas,26.55035,-81.8687,FL,071,11569,America/New_York,4047914,medium
4048023,Bessemer,33.40178,-86.95444,AL,073,26730,America/Chicago,4048023,large
4048662,Paducah,37.08339,-88.60005,KY,145,24864,America/Chicago,4048662,medium
4048888,Red Chute,32.55598,-93.61323,LA,015,6261,America/Chicago,4048888,medium
4049032,Jessup,39.14927,-76.77525,MD,003,7137,America/New_York,4049032,medium
4049979,Birmingham,33.52066,-86.80249,AL,073,196357,America/Chicago,4049979,major
4050006,Delhi Hills,39.09284,-84.61272,OH,061,5259,America/New_York,4050006,medium
4050118,Turpin Hills,39.11006,-84.37994,OH,061,5099,America/New_York,4050118,medium
4050356,Lugoff,34.22737,-80.68925,SC,055,7434,America/New_York,4050356,medium
4050552,Cordova,35.15565,-89.7762,TN,157,68779,America/Chicago,4050552,large
4050880,Buda,30.08521,-97.84028,TX,209,13705,America/Chicago,4050880,medium
4051059,Boaz,34.20065,-86.16637,AL,095,9688,America/Chicago,4051059,medium
4051714,Brewton,31.10518,-87.07219,AL,053,5434,America/Chicago,4051714,medium
4051894,Brook Highland,33.43566,-86.67388,AL,117,6746,America/Chicago,4051894,medium
4052964,Cahaba Heights,33.464,-86.73193,AL,073,5287,America/Chicago,4052964,medium
4053050,Calera,33.1029,-86.7536,AL,117,13213,America/Chicago,4053050,medium
4054378,Center Point,33.64566,-86.6836,AL,073,16655,America/Chicago,4054378,medium
4054852,Chelsea,33.34011,-86.63026,AL,117,12059,America/Chicago,4054852,medium
4054996,Chickasaw,30.7638,-88.07472,AL,097,5954,America/Chicago,4054996,medium
4055045,Childersburg,33.27817,-86.35498,AL,121,5046,America/Chicago,4055045,medium
4055577,Clanton,32.83874,-86.62943,AL,021,8844,America/Chicago,4055577,medium
4055650,Clay,33.7026,-86.59971,AL,073,9655,America/Chicago,4055650,medium
4057835,Cullman,34.17482,-86.84361,AL,043,15350,America/Chicago,4057835,medium
4058061,Daleville,31.31017,-85.71299,AL,045,5141,America/Chicago,4058061,medium
4058198,Danville,34.41454,-87.08751,AL,103,6242,America/Chicago,4058198,medium
4058219,Daphne,30.60353,-87.9036,AL,003,24896,America/Chicago,4058219,medium
4058553,Decatur,34.60593,-86.98334,AL,103,55437,America/Chicago,4058553,large
4058662,Demopolis,32.51764,-87.8364,AL,091,7148,America/Chicago,4058662,medium
4059102,Dothan,31.22323,-85.39049,AL,069,68567,America/Chicago,4059102,large
4059870,East Florence,34.80953,-87.64947,AL,077,35733,America/Chicago,4059870,large
4060791,Enterprise,31.31517,-85.85522,AL,031,27978,America/Chicago,4060791,large
4060954,Eufaula,31.89127,-85.14549,AL,005,12596,America/Chicago,4060954,medium
4061206,Fairfield,33.48594,-86.91194,AL,073,10907,America/Chicago,4061206,medium
4061234,Fairhope,30.52297,-87.90333,AL,003,18730,America/Chicago,4061234,medium
4062577,Florence,34.79981,-87.67725,AL,077,40026,America/Chicago,4062577,large
4062644,Foley,30.40659,-87.6836,AL,003,17218,America/Chicago,4062644,medium
4062774,Forestdale,33.57011,-86.89638,AL,073,10162,America/Chicago,4062774,medium
4062861,Fort Payne,34.44425,-85.71969,AL,049,14150,America/Chicago,4062861,medium
4063570,Fultondale,33.60483,-86.79388,AL,073,9048,America/Chicago,4063570,medium
4063619,Gadsden,34.01434,-86.00639,AL,055,36084,America/Chicago,4063619,large
4063765,Gardendale,33.6601,-86.81277,AL,073,13711,America/Chicago,4063765,medium
4064310,Glencoe,33.95704,-85.93247,AL,055,5153,America/Chicago,4064310,medium
4065029,Grayson Valley,33.64816,-86.63943,AL,073,5736,America/Chicago,4065029,medium
4065302,Greenville,31.8296,-86.61775,AL,013,7845,America/Chicago,4065302,medium
4065552,Gulf Shores,30.24604,-87.70082,AL,003,11131,America/Chicago,4065552,medium
4065649,Guntersville,34.35823,-86.29446,AL,095,8385,America/Chicago,4065649,medium
4065965,Hamilton,34.14232,-87.98864,AL,093,6772,America/Chicago,4065965,medium
4066449,Hartselle,34.44343,-86.93528,AL,103,14493,America/Chicago,4066449,medium
4066463,Harvest,34.85564,-86.75083,AL,089,5281,America/Chicago,4066463,medium
4066811,Helena,33.29622,-86.8436,AL,117,18264,America/Chicago,4066811,medium
4067927,Homewood,33.47177,-86.80082,AL,073,25708,America/Chicago,4067927,large
4067994,Hoover,33.40539,-86.81138,AL,073,84848,America/Chicago,4067994,large
4068446,Hueytown,33.45122,-86.99666,AL,073,15710,America/Chicago,4068446,medium
4068590,Huntsville,34.7304,-86.58594,AL,089,215006,America/Chicago,4068590,major
4069243,Irondale,33.53816,-86.70721,AL,073,12423,America/Chicago,4069243,medium
4069553,Jacksonville,33.81382,-85.7613,AL,015,12222,America/Chicago,4069553,medium
4069659,Jasper,33.83122,-87.27751,AL,127,14071,America/Chicago,4069659,medium
4071488,Lake Purdy,33.43011,-86.68054,AL,117,7857,America/Chicago,4071488,medium
4071763,Lanett,32.86874,-85.1905,AL,017,6452,America/Kentucky/Louisville,4071763,medium
4072130,Leeds,33.54816,-86.54443,AL,073,11936,America/Chicago,4072130,medium
4072767,Lincoln,33.61316,-86.11831,AL,121,6524,America/Chicago,4072767,medium
4074267,Madison,34.69926,-86.74833,AL,089,46962,America/Chicago,4074267,large
4075692,Meadowbrook,33.40205,-86.69665,AL,117,8769,America/Chicago,4075692,medium
4075854,Meridianville,34.85148,-86.57222,AL,089,6021,America/Chicago,4075854,medium
4075977,Midfield,33.4615,-86.90888,AL,073,5222,America/Chicago,4075977,medium
4076239,Millbrook,32.47986,-86.36192,AL,051,15314,America/Chicago,4076239,medium
4076598,Mobile,30.69436,-88.04305,AL,097,183289,America/Chicago,4076598,major
4076725,Monroeville,31.52794,-87.32471,AL,099,6110,America/Chicago,4076725,medium
4076771,Montevallo,33.10067,-86.86416,AL,117,6648,America/Chicago,4076771,medium
4076784,Montgomery,32.36681,-86.29997,AL,101,195287,America/Chicago,4076784,major
4076842,Moody,33.59094,-86.49082,AL,115,12593,America/Chicago,4076842,medium
4076982,Moores Mill,34.84398,-86.51832,AL,089,5682,America/Chicago,4076982,medium
4078646,Mountain Brook,33.50094,-86.75221,AL,073,20691,America/Chicago,4078646,medium
4078964,Muscle Shoals,34.74481,-87.66753,AL,033,13706,America/Chicago,4078964,medium
4080555,Northport,33.22901,-87.57723,AL,125,24772,America/Chicago,4080555,medium
4081644,Opelika,32.64541,-85.37828,AL,081,29527,America/Chicago,4081644,large
4081671,Oneonta,33.94815,-86.47276,AL,009,6615,America/Chicago,4081671,medium
4081683,Opp,31.28267,-86.25551,AL,039,6658,America/Chicago,4081683,medium
4081696,Orange Beach,30.29437,-87.57359,AL,003,5850,America/Chicago,4081696,medium
4081914,Oxford,33.61427,-85.83496,AL,015,21249,America/Chicago,4081914,medium
