FAC,LOC,GPE,time,Latitude,Longitude,state_code,state_name,county_name,county_fips,city_name,city_id,population
,,Florida,2024-09-26 22:59:53+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 22:59:49+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 22:59:47+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Tallahassee, Tampa",2024-09-26 22:59:43+00:00,30.429214152944322,-84.21793447308771,FL,Florida,Leon,12073,Tallahassee,4174715,201731
,,Florida,2024-09-26 22:59:37+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 22:59:16+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,FLORIDA,2024-09-26 22:59:04+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Florida, Tallahassee",2024-09-26 22:59:01+00:00,30.4380832,-84.2809332,FL,Florida,Leon,12073,Tallahassee,4174715,201731
,,"Florida, Georgia",2024-09-26 22:58:55+00:00,31.5876806291597,-82.57399616919007,GA,Georgia,Bacon,13005,Nicholls,4212770,3331
,,"Asheville, BILTMORE, Biltmore, Biltmore Village, NC",2024-09-26 22:58:48+00:00,35.562472,-82.54087139969252,NC,North Carolina,Buncombe,37021,Biltmore Forest,4455999,1441
,,Florida,2024-09-26 22:58:39+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 22:58:21+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 22:58:19+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 22:58:14+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Crawfordville, Florida",2024-09-26 22:57:58+00:00,30.1760358,-84.3751778,FL,Florida,Wakulla,12129,Crawfordville,4152267,3702
,,Tampa,2024-09-26 22:57:57+00:00,27.9477595,-82.458444,FL,Florida,Hillsborough,12057,Tampa,4174757,414547
,,Florida,2024-09-26 22:57:54+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Florida, the Big Bend",2024-09-26 22:57:46+00:00,30.40091345,-84.32551687793112,FL,Florida,Leon,12073,Tallahassee,4174715,201731
